,Date,Open,High,Low,Close,Volume
,"Nov 26, 2018",151.32,153.77,149.53,149.75,"240,174"
,"Nov 27, 2018",150.00,150.23,146.71,147.23,"272,016"
,"Nov 28, 2018",148.10,152.08,148.10,151.41,"358,950"
,"Nov 29, 2018",151.96,152.60,150.67,151.44,"188,005"
,"Nov 30, 2018",151.16,151.61,148.28,148.35,"328,456"
,"Dec 3, 2018",150.08,150.20,149.00,150.03,"200,615"
,"Dec 4, 2018",149.94,152.35,149.87,149.91,"280,446"
,"Dec 5, 2018",150.91,153.07,149.77,151.19,"190,980"
,"Dec 6, 2018",148.70,149.37,145.76,148.95,"285,392"
,"Dec 7, 2018",149.24,150.71,144.54,144.90,"223,112"
,"Dec 10, 2018",144.52,145.49,141.94,143.51,"263,813"
,"Dec 11, 2018",145.14,146.43,141.46,141.49,"289,660"
,"Dec 12, 2018",142.61,145.59,142.21,143.58,"299,032"
,"Dec 13, 2018",145.75,145.75,142.58,142.73,"216,000"
,"Dec 14, 2018",142.01,142.91,141.06,141.78,"219,012"
,"Dec 17, 2018",141.01,142.37,139.42,142.29,"296,896"
,"Dec 18, 2018",142.28,144.62,141.33,141.60,"310,456"
,"Dec 19, 2018",141.63,144.57,141.15,142.42,"364,628"
,"Dec 20, 2018",142.50,143.47,139.93,140.15,"186,934"
,"Dec 21, 2018",140.88,144.35,138.66,139.14,"775,311"
,"Dec 24, 2018",138.18,140.57,137.10,138.51,"113,652"
,"Dec 27, 2018",140.47,141.75,138.84,139.97,"222,283"
,"Dec 28, 2018",141.10,143.00,139.79,142.08,"201,133"
,"Dec 31, 2018",142.61,144.00,142.44,142.74,"136,329"
,"Jan 2, 2019",141.70,144.04,141.11,142.88,"160,773"
,"Jan 3, 2019",142.59,143.35,140.62,140.89,"201,473"
,"Jan 4, 2019",142.06,142.95,140.74,142.09,"205,983"
,"Jan 7, 2019",142.43,144.57,141.35,144.40,"561,050"
,"Jan 8, 2019",144.91,146.20,143.52,145.32,"238,035"
,"Jan 9, 2019",145.71,148.88,145.00,148.57,"508,965"
,"Jan 10, 2019",148.34,148.35,146.31,147.15,"274,083"
,"Jan 11, 2019",146.30,146.36,141.49,144.29,"393,740"
,"Jan 14, 2019",143.91,144.96,143.25,144.05,"204,210"
,"Jan 15, 2019",144.39,145.45,142.25,144.86,"299,444"
,"Jan 16, 2019",145.30,145.86,143.91,144.77,"223,316"
,"Jan 17, 2019",144.00,147.42,144.00,146.95,"184,661"
,"Jan 18, 2019",147.19,149.83,147.19,147.80,"357,209"
,"Jan 21, 2019",148.00,150.00,148.00,149.58,"74,107"
,"Jan 22, 2019",149.96,149.96,147.07,147.68,"165,668"
,"Jan 23, 2019",147.79,148.66,145.62,146.02,"265,616"
,"Jan 24, 2019",146.02,148.82,146.00,147.96,"228,206"
,"Jan 25, 2019",148.30,148.50,147.40,147.87,"146,371"
,"Jan 28, 2019",147.38,148.89,147.23,147.91,"379,961"
,"Jan 29, 2019",148.30,149.08,147.60,148.15,"257,790"
,"Jan 30, 2019",147.33,148.96,147.33,148.55,"218,618"
,"Jan 31, 2019",148.97,152.07,148.50,149.45,"265,004"
,"Feb 1, 2019",150.31,150.31,147.74,149.54,"192,811"
,"Feb 4, 2019",149.54,151.33,149.54,150.63,"185,063"
,"Feb 5, 2019",151.61,153.63,150.64,153.09,"220,097"
,"Feb 6, 2019",152.47,153.35,151.49,152.52,"208,700"
,"Feb 7, 2019",153.29,153.29,151.62,151.85,"682,247"
,"Feb 8, 2019",151.86,152.85,151.33,152.45,"146,420"
,"Feb 11, 2019",150.25,150.25,146.72,147.56,"369,360"
,"Feb 12, 2019",147.52,148.24,145.65,147.41,"393,302"
,"Feb 13, 2019",147.56,148.80,146.20,147.01,"230,784"
,"Feb 14, 2019",143.01,143.52,139.39,140.02,"593,313"
,"Feb 15, 2019",139.93,141.18,137.00,140.43,"531,334"
,"Feb 19, 2019",140.63,144.00,140.30,142.98,"763,384"
,"Feb 20, 2019",143.03,146.20,143.03,145.72,"270,879"
,"Feb 21, 2019",145.61,145.95,144.23,145.13,"274,957"
,"Feb 22, 2019",145.09,145.97,143.20,145.42,"156,105"
,"Feb 25, 2019",145.81,147.69,144.51,146.38,"206,642"
,"Feb 26, 2019",146.39,147.53,145.77,146.23,"263,455"
,"Feb 27, 2019",146.37,147.17,145.05,146.37,"211,838"
,"Feb 28, 2019",145.93,146.78,144.31,145.20,"285,584"
,"Mar 1, 2019",145.60,149.46,145.60,147.82,"294,808"
,"Mar 4, 2019",147.12,150.00,147.11,147.63,"279,575"
,"Mar 5, 2019",147.50,148.87,146.69,146.77,"300,006"
,"Mar 6, 2019",146.94,148.47,145.83,147.67,"224,644"
,"Mar 7, 2019",147.09,147.42,145.60,145.87,"224,254"
,"Mar 8, 2019",145.36,146.03,143.72,145.38,"210,340"
,"Mar 11, 2019",145.74,147.64,145.36,146.68,"177,098"
,"Mar 12, 2019",146.74,147.75,145.36,146.64,"165,034"
,"Mar 13, 2019",146.88,147.38,145.22,146.08,"198,308"
,"Mar 14, 2019",146.50,146.50,143.62,145.30,"198,071"
,"Mar 15, 2019",145.81,146.60,143.81,144.11,"607,320"
,"Mar 18, 2019",143.87,145.34,143.87,144.62,"155,588"
,"Mar 19, 2019",144.62,145.43,143.70,145.19,"131,174"
,"Mar 20, 2019",145.12,145.18,143.33,143.49,"137,763"
,"Mar 21, 2019",143.18,144.32,142.97,143.52,"142,817"
,"Mar 22, 2019",143.43,143.82,141.59,142.47,"156,371"
,"Mar 25, 2019",142.05,143.13,141.10,141.83,"120,691"
,"Mar 26, 2019",142.55,143.00,141.80,142.95,"190,979"
,"Mar 27, 2019",142.93,146.08,142.61,144.84,"176,380"
,"Mar 28, 2019",144.83,145.28,143.39,144.41,"161,086"
,"Mar 29, 2019",144.45,144.95,143.42,143.99,"137,572"
,"Apr 1, 2019",144.77,145.88,143.99,145.87,"269,139"
,"Apr 2, 2019",146.22,146.75,144.80,146.00,"205,758"
,"Apr 3, 2019",145.94,146.92,145.88,146.91,"209,784"
,"Apr 4, 2019",146.47,147.25,145.27,145.83,"107,910"
,"Apr 5, 2019",145.76,146.77,145.07,145.79,"144,149"
,"Apr 8, 2019",145.65,148.06,145.30,148.01,"208,196"
,"Apr 9, 2019",147.05,148.31,145.68,147.65,"236,077"
,"Apr 10, 2019",147.80,147.80,145.01,145.91,"200,656"
,"Apr 11, 2019",146.25,146.79,145.63,145.80,"118,737"
,"Apr 12, 2019",146.00,146.72,145.30,145.57,"115,666"
,"Apr 15, 2019",145.94,147.31,145.26,146.58,"200,442"
,"Apr 16, 2019",146.33,148.11,146.33,147.44,"159,405"
,"Apr 17, 2019",147.44,148.40,147.20,148.06,"150,302"
,"Apr 18, 2019",147.96,149.55,147.55,149.55,"182,395"
,"Apr 22, 2019",149.18,150.00,148.53,149.14,"147,536"
,"Apr 23, 2019",148.97,151.45,148.60,150.32,"246,382"
,"Apr 24, 2019",150.22,151.41,149.54,149.76,"169,269"
,"Apr 25, 2019",149.75,149.97,148.31,149.07,"190,933"
,"Apr 26, 2019",148.75,149.20,146.49,148.58,"177,355"
,"Apr 29, 2019",147.00,149.57,146.50,149.12,"180,635"
,"Apr 30, 2019",149.15,149.26,147.00,147.46,"249,502"
,"May 1, 2019",147.44,150.56,147.20,149.43,"352,135"
,"May 2, 2019",149.33,152.09,148.91,152.09,"276,018"
,"May 3, 2019",152.13,154.69,151.73,154.57,"274,502"
,"May 6, 2019",153.19,154.33,151.60,152.51,"197,149"
,"May 7, 2019",151.60,151.83,150.11,150.40,"236,170"
,"May 8, 2019",150.28,152.58,150.23,150.96,"237,990"
,"May 9, 2019",148.06,150.11,145.10,148.33,"494,244"
,"May 10, 2019",148.68,148.68,143.40,144.43,"376,910"
,"May 13, 2019",142.99,143.86,140.56,141.28,"276,173"
,"May 14, 2019",141.51,142.83,140.89,142.32,"318,178"
,"May 15, 2019",142.03,142.46,137.95,139.10,"423,717"
,"May 16, 2019",139.69,141.00,138.95,140.09,"311,865"
,"May 17, 2019",139.78,141.01,139.16,140.64,"241,217"
,"May 21, 2019",139.94,141.20,138.83,140.87,"325,375"
,"May 22, 2019",140.31,141.00,139.12,139.29,"230,224"
,"May 23, 2019",139.10,139.45,138.03,138.74,"198,999"
,"May 24, 2019",138.89,139.06,138.02,138.60,"245,025"
,"May 27, 2019",138.97,139.80,138.37,139.55,"63,817"
,"May 28, 2019",139.50,140.39,138.04,138.04,"323,297"
,"May 29, 2019",138.00,139.64,136.88,137.33,"169,966"
,"May 30, 2019",137.54,137.54,134.05,134.59,"378,523"
,"May 31, 2019",134.41,135.78,133.56,135.20,"224,492"
,"Jun 3, 2019",135.21,135.43,133.66,134.01,"211,303"
,"Jun 4, 2019",134.64,136.15,134.00,136.10,"189,426"
,"Jun 5, 2019",136.42,136.85,134.23,136.56,"185,783"
,"Jun 6, 2019",136.64,138.68,135.97,137.69,"182,115"
,"Jun 7, 2019",137.80,137.86,134.55,135.40,"274,284"
,"Jun 10, 2019",135.11,136.55,135.11,135.85,"118,336"
,"Jun 11, 2019",136.00,136.73,135.14,135.58,"124,133"
,"Jun 12, 2019",135.58,137.33,135.58,136.95,"180,863"
,"Jun 13, 2019",137.39,138.02,136.76,137.55,"116,818"
,"Jun 14, 2019",137.34,138.20,136.43,138.05,"127,081"
,"Jun 17, 2019",137.93,139.29,137.00,138.75,"192,338"
,"Jun 18, 2019",139.26,141.99,138.23,141.01,"299,459"
,"Jun 19, 2019",141.77,143.64,141.44,143.07,"244,320"
,"Jun 20, 2019",143.03,144.25,141.38,143.35,"197,704"
,"Jun 21, 2019",143.31,144.20,142.54,143.00,"579,068"
,"Jun 24, 2019",142.96,142.96,139.87,141.14,"183,509"
,"Jun 25, 2019",140.74,140.74,139.44,140.45,"124,402"
,"Jun 26, 2019",140.52,141.42,140.32,140.66,"152,314"
,"Jun 27, 2019",140.85,141.73,140.23,141.38,"110,979"
,"Jun 28, 2019",141.52,142.93,141.26,142.68,"273,322"
,"Jul 2, 2019",143.32,144.00,138.40,140.85,"334,595"
,"Jul 3, 2019",140.81,142.94,140.73,142.27,"113,406"
,"Jul 4, 2019",142.29,142.37,141.07,142.22,"46,206"
,"Jul 5, 2019",141.60,142.83,141.42,142.59,"97,711"
,"Jul 8, 2019",141.84,144.36,141.84,143.56,"284,655"
,"Jul 9, 2019",142.98,144.43,142.45,143.45,"159,626"
,"Jul 10, 2019",143.32,145.33,142.11,145.08,"291,393"
,"Jul 11, 2019",144.72,145.65,143.80,144.80,"177,535"
,"Jul 12, 2019",144.40,145.55,144.16,144.63,"138,316"
,"Jul 15, 2019",144.44,145.24,143.85,145.22,"104,721"
,"Jul 16, 2019",145.00,145.45,144.00,145.20,"95,376"
,"Jul 17, 2019",144.93,145.56,144.32,144.91,"134,665"
,"Jul 18, 2019",144.96,145.30,143.48,143.48,"257,682"
,"Jul 19, 2019",143.43,144.59,143.21,144.48,"108,910"
,"Jul 22, 2019",144.35,145.18,143.81,144.15,"59,710"
,"Jul 23, 2019",144.41,144.66,143.31,144.47,"88,932"
,"Jul 24, 2019",144.30,145.52,144.20,145.42,"81,884"
,"Jul 25, 2019",145.63,145.67,143.97,144.96,"127,782"
,"Jul 26, 2019",144.88,146.00,144.88,145.71,"167,686"
,"Jul 29, 2019",145.50,146.67,145.39,146.57,"101,646"
,"Jul 30, 2019",144.89,145.74,144.58,145.03,"111,411"
,"Jul 31, 2019",145.00,145.25,143.62,144.11,"276,829"
,"Aug 1, 2019",144.11,144.25,142.60,143.76,"223,632"
